x,y1,y2,y3,y4
-20.0,-7600.474,-58.07732,4.680629,5.788492
-19.9,-7484.3735,-57.614563,4.581015,5.7504406
-19.8,-7370.021,-57.01414,4.4055986,5.1011515
-19.7,-7257.725,-57.07005,4.178491,5.668333
-19.6,-7145.653,-56.686066,4.841078,5.638637
-19.5,-7035.053,-56.34689,4.1515326,4.8918743
-19.4,-6924.819,-56.152584,4.487379,5.5746717
-19.3,-6816.6323,-55.958138,4.5813074,5.5459332
-19.2,-6709.6924,-55.164318,4.384189,5.2390027
-19.1,-6603.307,-54.973316,4.5452456,5.152482
-19.0,-6498.1997,-55.23511,4.803678,5.3709674
-18.9,-6394.542,-55.052765,4.5030746,5.590904
-18.8,-6290.959,-54.47845,4.121439,5.280574
-18.7,-6190.006,-53.938553,3.9682274,4.983889
-18.6,-6089.2466,-54.011494,4.4799995,4.9211745
-18.5,-5989.191,-53.856617,4.3477197,5.2283897
-18.4,-5891.1143,-53.34507,4.135659,5.210103
-18.3,-5793.6123,-52.989178,3.779627,5.568005
-18.2,-5697.5195,-52.20201,4.581051,5.1990314
-18.1,-5602.1006,-51.960506,4.161348,5.4782786
-18.0,-5508.029,-51.592186,3.8153992,5.5556893
-17.9,-5414.8843,-51.42589,4.1708713,5.3661413
-17.8,-5322.7246,-51.02994,3.9404495,5.062854
-17.7,-5232.3384,-50.791653,3.8045743,5.6256022
-17.6,-5141.6353,-50.4753,3.9988217,5.159407
-17.5,-5053.0454,-50.620605,3.750148,5.1357274
-17.4,-4965.2827,-49.872574,4.268639,5.0525417
-17.3,-4878.583,-49.63851,3.811708,4.756556
-17.2,-4792.9077,-49.55782,4.1193814,4.815756
-17.1,-4707.6987,-49.71724,4.13344,4.762347
-17.0,-4623.9214,-48.702965,4.316878,4.9533706
-16.9,-4540.7217,-48.439453,4.2353907,5.203639
-16.8,-4459.752,-48.425823,3.7485707,5.4268875
-16.7,-4378.6245,-48.247242,4.253675,4.7837358
-16.6,-4298.864,-47.837093,3.6022606,5.3716135
-16.5,-4220.2856,-47.615303,4.328446,4.6293874
-16.4,-4142.1187,-47.67193,4.277513,5.4239984
-16.3,-4064.796,-46.740677,3.8230352,5.5218678
-16.2,-3989.241,-46.480686,3.7862182,5.246722
-16.1,-3914.5222,-46.227528,4.3413067,5.0400634
-16.0,-3839.5103,-45.937614,3.8780267,4.612845
-15.9,-3767.156,-45.85434,3.931308,5.415798
-15.8,-3694.1897,-45.15958,3.593251,5.1701574
-15.7,-3623.8672,-45.17372,4.2973657,5.4920416
-15.6,-3552.6995,-44.654114,3.6172411,4.9427123
-15.5,-3483.6892,-44.17083,3.515485,5.2971816
-15.4,-3415.5732,-44.15714,3.9329,4.862745
-15.3,-3347.753,-43.96053,4.0331864,5.2838073
-15.2,-3280.6455,-43.42531,4.167506,4.5689445
-15.1,-3214.6587,-43.575768,3.6905367,5.1471586
-15.0,-3150.119,-42.950687,4.1427927,4.5786624
-14.9,-3085.839,-42.396637,3.441608,4.956802
-14.8,-3022.3857,-42.251526,4.236856,5.2476845
-14.7,-2960.9236,-42.16362,3.6822367,5.2966313
-14.6,-2898.6533,-42.19242,4.101167,4.8726788
-14.5,-2838.6843,-41.69506,3.9568694,4.7231665
-14.4,-2778.9163,-40.988083,3.4195209,4.8141212
-14.3,-2720.1382,-40.571396,4.206467,4.5708203
-14.2,-2662.0583,-40.23952,4.099319,4.9841757
-14.1,-2604.445,-40.779083,3.331319,5.2170506
-14.0,-2547.91,-39.7156,3.5413036,4.6971965
-13.9,-2492.5828,-39.60639,3.781616,5.084694
-13.8,-2437.7417,-39.07296,3.331591,5.160759
-13.7,-2383.298,-38.6457,3.8366394,4.432417
-13.6,-2330.6794,-38.90633,3.6883762,4.9860997
-13.5,-2278.5847,-38.217487,3.6362574,4.6950173
-13.4,-2226.206,-38.208405,4.0243735,4.616831
-13.3,-2175.653,-37.536915,3.2730322,4.919384
-13.2,-2125.7075,-37.834686,3.7116134,4.5785427
-13.1,-2076.266,-37.227894,3.4949539,4.5371857
-13.0,-2027.9122,-37.168037,4.05425,5.1925917
-12.9,-1980.3646,-36.4103,3.5027418,4.4018893
-12.8,-1933.2356,-36.147186,3.1182485,4.5627866
-12.7,-1887.3927,-35.648827,3.248452,4.9597654
-12.6,-1842.1077,-36.07022,3.6493797,4.38922
-12.5,-1796.5623,-35.89315,3.4008114,4.484944
-12.4,-1752.8113,-35.25389,3.0954742,4.801676
-12.3,-1709.8135,-35.3126,3.8679285,4.9852734
-12.2,-1666.5553,-34.623928,3.4244437,4.7869506
-12.1,-1624.6904,-33.99235,3.0646875,4.56273
-12.0,-1584.2335,-34.12577,3.711362,5.057575
-11.9,-1543.0789,-33.286,3.3128128,4.9471354
-11.8,-1504.0045,-33.61602,3.8247893,4.626019
-11.7,-1465.0831,-32.80223,3.510604,4.675609
-11.6,-1426.4307,-33.21413,3.839434,5.021709
-11.5,-1388.6934,-32.885883,3.1395144,4.915467
-11.4,-1351.9913,-32.119938,3.6131864,4.839849
-11.3,-1314.8479,-31.885292,3.5444238,5.133121
-11.2,-1279.2777,-31.342216,3.0486708,4.4611187
-11.1,-1243.9211,-31.39065,3.0972261,4.4436636
-11.0,-1209.5491,-31.370478,3.6191535,4.9205995
-10.9,-1175.8004,-31.14422,2.895511,4.94268
-10.8,-1143.1879,-30.110155,3.4175873,4.7236123
-10.7,-1110.6084,-30.162676,2.8648622,4.2709002
-10.6,-1078.6388,-29.562313,3.5681655,4.8938828
-10.5,-1047.5708,-29.115261,3.0807567,4.465195
-10.4,-1016.2142,-28.917744,3.7091734,4.221158
-10.3,-986.3738,-29.17968,3.1035063,4.2727127
-10.2,-957.2649,-28.61799,3.5495944,4.495735
-10.1,-928.06744,-28.193531,3.1536646,4.969736
-10.0,-899.86694,-28.387531,2.9461606,4.874271
-9.9,-872.5014,-27.308523,3.4377344,4.608181
-9.8,-845.263,-26.92344,3.1857624,4.452607
-9.7,-818.711,-27.059101,3.1106856,4.4050493
-9.6,-792.888,-26.42584,2.7232735,4.7211223
-9.5,-767.3094,-26.411028,3.234148,4.64275
-9.4,-741.7402,-26.513414,2.9804466,4.8993344
-9.3,-717.5432,-25.568125,2.6836557,4.941299
-9.2,-693.7417,-25.559866,3.3716629,4.922651
-9.1,-670.87946,-25.46404,2.7750504,4.943068
-9.0,-647.5698,-24.522942,2.9521618,4.0378585
-8.9,-625.8442,-24.922443,2.8112922,4.703127
-8.8,-604.079,-24.26967,2.6801941,4.1038547
-8.7,-582.36707,-23.744093,3.149525,4.3159804
-8.6,-561.6656,-24.01502,3.2717602,4.776472
-8.5,-542.25726,-23.081484,3.385012,4.242902
-8.4,-522.52716,-23.392654,2.6333544,4.170766
-8.3,-502.92575,-23.039501,2.9531019,4.5550504
-8.2,-484.52228,-22.296272,3.0399232,4.4711013
-8.1,-465.99667,-22.398092,2.724914,4.042627
-8.0,-447.5936,-21.734001,2.6032472,4.4825
-7.9,-431.02792,-21.394957,3.1447217,4.3762145
-7.8,-414.1615,-21.378487,3.0129876,4.655669
-7.7,-396.80725,-21.040009,2.8670065,3.9748275
-7.6,-380.85226,-20.865992,2.665168,4.3569875
-7.5,-365.17767,-20.46317,3.0853174,4.131878
-7.4,-350.08377,-20.139235,2.6407135,4.3407273
